"","target_child_id","corpus_name","target_child_age","form","pos","target_child_sex","stem","utterance_id"
"1",1754,"PetersonMcCabe",48.0009856465225,"fight","v","female","fight",380691
"2",1754,"PetersonMcCabe",48.0009856465225,"fight","v","female","fight",380279
"3",1754,"PetersonMcCabe",48.0009856465225,"fight","v","female","fight",381489
"4",1754,"PetersonMcCabe",48.0009856465225,"fighting","part","female","fight",377174
"5",1754,"PetersonMcCabe",48.0009856465225,"touch","v","female","touch",378414
"6",1754,"PetersonMcCabe",48.0009856465225,"touch","v","female","touch",381474
"7",1999,"Hall",57.0011704552455,"fight","v","male","fight",732212
"8",1999,"Hall",57.0011704552455,"fighting","part","male","fight",539779
"9",1999,"Hall",57.0011704552455,"kiss","v","male","kiss",517907
"10",1999,"Hall",57.0011704552455,"meet","v","male","meet",538508
"11",1999,"Hall",57.0011704552455,"touch","v","male","touch",508160
"12",1999,"Hall",57.0011704552455,"touch","v","male","touch",736164
"13",1999,"Hall",57.0011704552455,"touched","v","male","touch",678406
"14",2006,"Hall",57.0011704552455,"touch","v","male","touch",507282
"15",2006,"Hall",57.0011704552455,"touch","v","male","touch",507296
"16",2006,"Hall",57.0011704552455,"touch","v","male","touch",562140
"17",2006,"Hall",57.0011704552455,"touch","v","male","touch",575405
"18",2006,"Hall",57.0011704552455,"touching","part","male","touch",552803
"19",2007,"Hall",57.0011704552455,"fight","v","male","fight",687530
"20",2007,"Hall",57.0011704552455,"fight","v","male","fight",766912
"21",2007,"Hall",57.0011704552455,"fighting","part","male","fight",707620
"22",2007,"Hall",57.0011704552455,"kiss","v","male","kiss",570609
"23",2007,"Hall",57.0011704552455,"meet","v","male","meet",747162
"24",2007,"Hall",57.0011704552455,"met","v","male","meet",537013
"25",2007,"Hall",57.0011704552455,"touch","v","male","touch",663049
"26",2007,"Hall",57.0011704552455,"touch","v","male","touch",664236
"27",2007,"Hall",57.0011704552455,"touch","v","male","touch",664262
"28",2007,"Hall",57.0011704552455,"touch","v","male","touch",664277
"29",2007,"Hall",57.0011704552455,"touch","v","male","touch",670835
"30",2007,"Hall",57.0011704552455,"touch","v","male","touch",670850
"31",2007,"Hall",57.0011704552455,"touch","v","male","touch",689574
"32",2007,"Hall",57.0011704552455,"touch","v","male","touch",699620
"33",2007,"Hall",57.0011704552455,"touch","v","male","touch",699620
"34",2007,"Hall",57.0011704552455,"touch","v","male","touch",751351
"35",2007,"Hall",57.0011704552455,"touch","v","male","touch",775492
"36",2007,"Hall",57.0011704552455,"touched","v","male","touch",781511
"37",2007,"Hall",57.0011704552455,"trade","v","male","trade",721255
"38",2020,"Hall",57.0011704552455,"fighting","part","male","fight",505310
"39",2020,"Hall",57.0011704552455,"joined","v","male","join",581745
"40",2020,"Hall",57.0011704552455,"match","v","male","match",546244
"41",2020,"Hall",57.0011704552455,"meet","v","male","meet",530425
"42",2020,"Hall",57.0011704552455,"touch","v","male","touch",509807
"43",2020,"Hall",57.0011704552455,"touch","v","male","touch",509827
"44",2020,"Hall",57.0011704552455,"touch","v","male","touch",509827
"45",2020,"Hall",57.0011704552455,"touching","part","male","touch",509777
"46",2040,"Hall",57.0011704552455,"fighting","part","male","fight",526989
"47",2040,"Hall",57.0011704552455,"fighting","part","male","fight",527007
"48",2040,"Hall",57.0011704552455,"fighting","part","male","fight",527025
"49",2040,"Hall",57.0011704552455,"fighting","part","male","fight",613411
